"Year","Player","Club","Goals","Appearances"
"1992/93","Franck Sauzée","Olympique de Marseille",5,7
"1993/94","Hristo Stoichkov","FC Barcelona",5,6
"1994/95","George Weah","Paris Saint-Germain",7,10
"1995/96","Jari Litmanen","AFC Ajax",9,10
"1996/97","Milinko Pantić","Club Atlético de Madrid",5,8
"1997/98","Alessandro Del Piero","Juventus",10,10
"1998/99","Andriy Shevchenko","FC Dynamo Kyiv",8,10
"1998/99","Dwight Yorke","Manchester United FC",8,11
"1999/00","Mário Jardel","FC Porto",10,13
"1999/00","Rivaldo","FC Barcelona",10,14
"1999/00","Raúl González","Real Madrid CF",10,15
"2000/01","Raúl González","Real Madrid CF",7,12
"2001/02","Ruud van Nistelrooy","Manchester United FC",10,14
"2002/03","Ruud van Nistelrooy","Manchester United FC",12,9
"2003/04","Fernando Morientes","AS Monaco FC",9,12
"2004/05","Ruud van Nistelrooy","Manchester United FC",8,7
"2005/06","Andriy Shevchenko","AC Milan",9,12
"2006/07","Kaká","AC Milan",10,13
"2007/08","Cristiano Ronaldo","Manchester United FC",8,11
"2008/09","Lionel Messi","FC Barcelona",9,12
"2009/10","Lionel Messi","FC Barcelona",8,11
"2010/11","Lionel Messi","FC Barcelona",12,13
"2011/12","Lionel Messi","FC Barcelona",14,11
"2012/13","Cristiano Ronaldo","Real Madrid CF",12,12
"2013/14","Cristiano Ronaldo","Real Madrid CF",17,11
"2014/15","Lionel Messi","FC Barcelona",10,13
"2014/15","Neymar","FC Barcelona",10,12
"2014/15","Cristiano Ronaldo","Real Madrid CF",10,12
"2015/16","Cristiano Ronaldo","Real Madrid CF",16,12
"2016/17","Cristiano Ronaldo","Real Madrid CF",12,13
"2017/18","Cristiano Ronaldo","Real Madrid CF",15,13
"2018/19","Lionel Messi","FC Barcelona",12,10
"2019/20","Robert Lewandowski","FC Bayern Munich",15,10
"2020/21","Erling Haaland","Borussia Dortmund",10,8
"2021/22","Karim Benzema","Real Madrid CF",15,12
"2022/23","Erling Haaland","Manchester City FC",12,11
